question,answer,question_en,answer_en
ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਜੀ ਦੀ ਜਨਮ ਤਾਰੀਖ ਕੀ ਹੈ?,"ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਜੀ ਦਾ ਜਨਮ 15 ਅਪ੍ਰੈਲ 1469 ਨੂੰ ਤਲਵੰਡੀ (ਹੁਣ ਨੰਕਾਣਾ ਸਾਹਿਬ, ਪਾਕਿਸਤਾਨ) ਵਿੱਚ ਹੋਇਆ ਸੀ।",What is the date of the Great Teacher's birth?,"He was born on April 15, 1769."
ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਜੀ ਦੀ ਮੌਤ ਕਦੋਂ ਹੋਈ?,ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਜੀ ਦੀ ਮੌਤ 22 ਸਤੰਬਰ 1539 ਨੂੰ ਕਾਰਪੂਰ ਵਿੱਚ ਹੋਈ।,When did the teacher's death take place?,"He died on September 22, 1939."
ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਜੀ ਨੇ ਸਿੱਖ ਧਰਮ ਲਈ ਕੀ ਯੋਗਦਾਨ ਦਿੱਤਾ?,"ਸਿੱਖ ਧਰਮ ਦੀ ਬੁਨਿਆਦ ਰੱਖਣਾ ਅਤੇ ਸਮਾਨਤਾ, ਨਿਆਇ ਤੇ ਭਾਈਚਾਰੇ ਦਾ ਸੁਨੇਹਾ ਦੇਣਾ।",What role did the Great Teacher play in education?,"Giving a message of education as well as a basis for religion and a common, legal, and brotherhood."
ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਜੀ ਦੇ ਮਾਪੇ ਕੌਣ ਸਨ?,ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਜੀ ਦੇ ਮਾਪੇ ਬਾਬਾ ਤਰਾਹਾ ਜੀ ਅਤੇ ਮਾਤਾ ਤ੍ਰਿਪਤਾ ਜੀ ਸਨ।,Who were the parents of the teacher?,My mother and mother were satisfied with the way the teacher had been looking for.
ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਜੀ ਦੀ ਜੀਵਨ ਸਾਥੀ ਕੌਣ ਸੀ?,ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਜੀ ਦੀ ਜੀਵਨ ਸਾਥੀ ਮਾਤਾ ਸੁਚਮ ਪ੍ਰੀਮ ਅਤੇ ਮਾਤਾ ਸੁਪ੍ਰੀਤ ਸੀ।,Who was the teacher's virgin companion?,"The teacher's virgin mother, Mary, and her mother - in - law was a virgin."
ਗੁਰੂ ਅੰਗਦ ਦੇਵ ਜੀ ਦੀ ਜਨਮ ਤਾਰੀਖ ਕੀ ਹੈ?,"ਗੁਰੂ ਅੰਗਦ ਦੇਵ ਜੀ ਦਾ ਜਨਮ 31 ਮਾਰਚ 1504 ਨੂੰ ਜ਼ਾਸ਼ੀਕਿ, ਪਾਕਿਸਤਾਨ ਵਿੱਚ ਹੋਇਆ ਸੀ।",What is the date of the Great Teacher's birth?,"The teacher's birth was on March 31, 1504, in Pakistan."
ਗੁਰੂ ਅੰਗਦ ਦੇਵ ਜੀ ਦੀ ਮੌਤ ਕਦੋਂ ਹੋਈ?,"ਗੁਰੂ ਅੰਗਦ ਦੇਵ ਜੀ ਦੀ ਮੌਤ 29 ਮਾਰਚ 1552 ਨੂੰ ਜੰਡੀਆਲਾ ਸਾਹਿਬ, ਪੰਜਾਬ, ਭਾਰਤ ਵਿੱਚ ਹੋਈ।",When did the teaching of the immortality of the soul take place?,"On March 29, 1855, the teacher's death in St. Petersburg, India."
ਗੁਰੂ ਅੰਗਦ ਦੇਵ ਜੀ ਨੇ ਸਿੱਖ ਧਰਮ ਲਈ ਕੀ ਯੋਗਦਾਨ ਦਿੱਤਾ?,ਗੁਰਮੁਖੀ ਲਿਪੀ ਦੀ ਸਥਾਪਨਾ ਅਤੇ ਲੰਗਰ ਪ੍ਰatha ਸਥਾਪਤ ਕਰਨਾ।,What role did the Great Teacher play in education?,Creating the foundation of a written written record before and after it is established.
ਗੁਰੂ ਅੰਗਦ ਦੇਵ ਜੀ ਦੇ ਮਾਪੇ ਕੌਣ ਸਨ?,ਗੁਰੂ ਅੰਗਦ ਦੇਵ ਜੀ ਦੇ ਮਾਪੇ ਬਾਬਾ ਖੇਵਲ ਅਤੇ ਮਾਤਾ ਮਣੀ ਜੀ ਸਨ।,Who were the parents of the teacher?,"The parents of the teacher's mother, Louis Awald and Mother, were born."
ਗੁਰੂ ਅੰਗਦ ਦੇਵ ਜੀ ਦੀ ਜੀਵਨ ਸਾਥੀ ਕੌਣ ਸੀ?,ਗੁਰੂ ਅੰਗਦ ਦੇਵ ਜੀ ਦੀ ਜੀਵਨ ਸਾਥੀ ਮਾਤਾ ਬਹਾਦਰਕੋਸ਼ੀ ਜੀ ਸੀ।,Who was the Author of the Church Fathers?,The teacher's virgin companion Mother was courageous.
