question,answer
ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਜੀ ਦੀ ਜਨਮ ਤਾਰੀਖ ਕੀ ਹੈ?,"ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਜੀ ਦਾ ਜਨਮ 15 ਅਪ੍ਰੈਲ 1469 ਨੂੰ ਤਲਵੰਡੀ (ਹੁਣ ਨੰਕਾਣਾ ਸਾਹਿਬ, ਪਾਕਿਸਤਾਨ) ਵਿੱਚ ਹੋਇਆ ਸੀ।"
ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਜੀ ਦੀ ਮੌਤ ਕਦੋਂ ਹੋਈ?,ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਜੀ ਦੀ ਮੌਤ 22 ਸਤੰਬਰ 1539 ਨੂੰ ਕਾਰਪੂਰ ਵਿੱਚ ਹੋਈ।
ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਜੀ ਨੇ ਸਿੱਖ ਧਰਮ ਲਈ ਕੀ ਯੋਗਦਾਨ ਦਿੱਤਾ?,"ਸਿੱਖ ਧਰਮ ਦੀ ਬੁਨਿਆਦ ਰੱਖਣਾ ਅਤੇ ਸਮਾਨਤਾ, ਨਿਆਇ ਤੇ ਭਾਈਚਾਰੇ ਦਾ ਸੁਨੇਹਾ ਦੇਣਾ।"
ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਜੀ ਦੇ ਮਾਪੇ ਕੌਣ ਸਨ?,ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਜੀ ਦੇ ਮਾਪੇ ਬਾਬਾ ਤਰਾਹਾ ਜੀ ਅਤੇ ਮਾਤਾ ਤ੍ਰਿਪਤਾ ਜੀ ਸਨ।
ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਜੀ ਦੀ ਜੀਵਨ ਸਾਥੀ ਕੌਣ ਸੀ?,ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਜੀ ਦੀ ਜੀਵਨ ਸਾਥੀ ਮਾਤਾ ਸੁਚਮ ਪ੍ਰੀਮ ਅਤੇ ਮਾਤਾ ਸੁਪ੍ਰੀਤ ਸੀ।
ਗੁਰੂ ਅੰਗਦ ਦੇਵ ਜੀ ਦੀ ਜਨਮ ਤਾਰੀਖ ਕੀ ਹੈ?,"ਗੁਰੂ ਅੰਗਦ ਦੇਵ ਜੀ ਦਾ ਜਨਮ 31 ਮਾਰਚ 1504 ਨੂੰ ਜ਼ਾਸ਼ੀਕਿ, ਪਾਕਿਸਤਾਨ ਵਿੱਚ ਹੋਇਆ ਸੀ।"
ਗੁਰੂ ਅੰਗਦ ਦੇਵ ਜੀ ਦੀ ਮੌਤ ਕਦੋਂ ਹੋਈ?,"ਗੁਰੂ ਅੰਗਦ ਦੇਵ ਜੀ ਦੀ ਮੌਤ 29 ਮਾਰਚ 1552 ਨੂੰ ਜੰਡੀਆਲਾ ਸਾਹਿਬ, ਪੰਜਾਬ, ਭਾਰਤ ਵਿੱਚ ਹੋਈ।"
ਗੁਰੂ ਅੰਗਦ ਦੇਵ ਜੀ ਨੇ ਸਿੱਖ ਧਰਮ ਲਈ ਕੀ ਯੋਗਦਾਨ ਦਿੱਤਾ?,ਗੁਰਮੁਖੀ ਲਿਪੀ ਦੀ ਸਥਾਪਨਾ ਅਤੇ ਲੰਗਰ ਪ੍ਰatha ਸਥਾਪਤ ਕਰਨਾ।
ਗੁਰੂ ਅੰਗਦ ਦੇਵ ਜੀ ਦੇ ਮਾਪੇ ਕੌਣ ਸਨ?,ਗੁਰੂ ਅੰਗਦ ਦੇਵ ਜੀ ਦੇ ਮਾਪੇ ਬਾਬਾ ਖੇਵਲ ਅਤੇ ਮਾਤਾ ਮਣੀ ਜੀ ਸਨ।
ਗੁਰੂ ਅੰਗਦ ਦੇਵ ਜੀ ਦੀ ਜੀਵਨ ਸਾਥੀ ਕੌਣ ਸੀ?,ਗੁਰੂ ਅੰਗਦ ਦੇਵ ਜੀ ਦੀ ਜੀਵਨ ਸਾਥੀ ਮਾਤਾ ਬਹਾਦਰਕੋਸ਼ੀ ਜੀ ਸੀ।
